"","country","continent","location_count","chapter_count","avg_afinn_score","avg_bing_score","avg_nrc_score","avg_sentiwordnet_score","avg_senticnet_score","composite_sentiment"
"1","China","Asia",1,8,-0.156945609062591,-0.0704966011681589,0.171506275532507,-0.0525378845503719,-0.0196487295349174,-0.0256245097567063
"2","Egypt","Africa",5,16,0.0804821076056786,0.0167157113873109,0.205475486636382,0.0323356245684064,0.0111771789722157,0.0692372218339988
"3","France","Europe",2,9,0.288813067377014,0.0647252177203807,0.257330542586657,0.0857264219392869,0.0438854870971136,0.14809614734409
"4","Greece","Europe",1,1,0.734042553191489,0.395833333333333,0.409395973154362,0.253191489361702,0.0953191489361702,0.377556499595411
"5","Hong Kong","Asia",1,14,-0.128291393327453,-0.0257459127360049,0.180144247420865,-0.0397445388080048,-0.0169921325698799,-0.00612594600409549
"6","India","Asia",8,53,-0.0174935359601385,0.00195560813750614,0.204900944160741,-0.00363542613708374,-0.00135352119073997,0.0368748138020569
"7","Italy","Europe",3,7,0.112795883361921,0.0620499077053556,0.197205381185356,0.0496084293065425,0.011043829126848,0.0865406861372047
"8","Japan","Asia",2,16,-0.00260150977675398,-0.0118323933908619,0.20976918206641,-0.00103946818331144,0.000461735894192082,0.038951509321935
"9","Singapore","Asia",1,5,-0.121750552608311,-0.00877305299725608,0.190540144192783,-0.0417539787798408,-0.0137332139699381,0.000905869167487371
"10","United Kingdom","Europe",11,58,-0.0158509243971746,-0.00112727803324038,0.172030951565307,-0.0027470267663465,-0.00241195615109591,0.0299787532434899
"11","United States","North America",4,41,-0.0769306799635098,-0.0970224434618579,0.180680727920513,-0.0332446861662096,-0.00576005701433761,-0.00645542773708044
"12","Yemen","Asia",3,3,0.763636363636364,0.28125,0.290909090909091,0.285454545454545,0.0916363636363636,0.342577272727273
