"","chapter","chap_sent","total_words","sentiment_words","positive_words","negative_words"
"1",1,0.609756097560976,41,35,24,11
"2",2,0.666666666666667,48,44,29,15
"3",3,0.136363636363636,66,57,32,25
"4",4,0,34,32,14,18
"5",5,-0.585365853658537,41,36,14,22
"6",6,0.113207547169811,53,39,20,19
"7",7,-0.12,25,21,9,12
"8",8,-0.297297297297297,37,33,15,18
"9",9,0.763636363636364,55,46,31,15
"10",10,0.206896551724138,58,51,29,22
"11",11,-0.435185185185185,108,92,40,52
"12",12,-0.408163265306122,98,80,32,48
"13",13,-0.688073394495413,109,75,30,45
"14",14,0.734042553191489,94,79,52,27
"15",15,-1.03061224489796,98,69,20,49
"16",16,-0.328125,64,55,25,30
"17",17,0.0133333333333333,75,65,33,32
"18",18,-0.0285714285714286,70,59,31,28
"19",19,-0.403846153846154,104,87,37,50
"20",20,0.2375,80,65,33,32
"21",21,-0.169491525423729,118,96,44,52
"22",22,-0.264705882352941,68,59,24,35
"23",23,0.26984126984127,63,52,26,26
"24",24,0.229885057471264,87,70,37,33
"25",25,0.529411764705882,85,72,36,36
"26",26,0.1,50,40,21,19
"27",27,-0.0307692307692308,65,56,28,28
"28",28,-0.316666666666667,120,85,35,50
"29",29,-0.0618556701030928,97,74,37,37
"30",30,-0.827272727272727,110,80,26,54
"31",31,0.0142857142857143,70,57,30,27
"32",32,-0.366666666666667,30,28,11,17
"33",33,-0.358490566037736,106,90,40,50
"34",34,-0.580645161290323,62,46,19,27
"35",35,-0.36986301369863,73,64,26,38
"36",36,-0.525,40,35,13,22
"37",37,0.666666666666667,45,35,22,13
