"","chapter","word","n"
"1",33,"fogg",33
"2",19,"fix",29
"3",19,"passepartout",29
"4",25,"fogg",28
"5",35,"fogg",28
"6",11,"fogg",27
"7",15,"fogg",26
"8",20,"fogg",26
"9",21,"fogg",25
"10",15,"passepartout",24
"11",28,"passepartout",24
"12",29,"fogg",24
"13",3,"fogg",23
"14",11,"francis",22
"15",11,"sir",22
"16",17,"passepartout",21
"17",31,"fogg",21
"18",33,"captain",21
"19",31,"sledge",20
"20",3,"stuart",19
"21",15,"judge",19
"22",22,"passepartout",19
"23",24,"passepartout",19
"24",29,"train",19
"25",30,"fogg",19
"26",33,"henrietta",18
"27",35,"aouda",18
"28",37,"fogg",18
"29",1,"fogg",17
"30",17,"fix",17
"31",23,"passepartout",17
"32",25,"fix",17
"33",28,"train",17
"34",30,"train",17
"35",4,"passepartout",16
"36",14,"passepartout",16
"37",16,"hong",16
"38",16,"kong",16
"39",18,"fogg",16
"40",28,"fogg",16
"41",32,"fogg",16
"42",34,"fogg",16
"43",11,"passepartout",15
"44",13,"fogg",15
"45",14,"fogg",15
"46",21,"wind",15
"47",4,"fogg",14
"48",13,"guide",14
"49",13,"sir",14
"50",16,"fix",14
"51",17,"fogg",14
"52",24,"fogg",14
"53",28,"colonel",14
"54",29,"car",14
"55",33,"phileas",14
"56",33,"speedy",14
"57",3,"phileas",13
"58",6,"fix",13
"59",11,"indian",13
"60",11,"train",13
"61",12,"fogg",13
"62",13,"francis",13
"63",18,"passepartout",13
"64",20,"fix",13
"65",21,"miles",13
"66",21,"pilot",13
"67",21,"tankadere",13
"68",29,"colonel",13
"69",1,"phileas",12
"70",3,"thousand",12
"71",5,"fogg",12
"72",5,"phileas",12
"73",10,"bombay",12
"74",12,"francis",12
"75",12,"sir",12
"76",16,"passepartout",12
"77",20,"aouda",12
"78",22,"fogg",12
"79",23,"noses",12
"80",24,"fix",12
"81",26,"train",12
"82",30,"fix",12
"83",33,"liverpool",12
"84",35,"passepartout",12
"85",36,"fogg",12
"86",36,"phileas",12
"87",2,"passepartout",11
"88",7,"consul",11
"89",8,"fix",11
"90",9,"bombay",11
"91",12,"guide",11
"92",16,"fogg",11
"93",21,"boat",11
"94",21,"sea",11
"95",22,"carnatic",11
"96",27,"passepartout",11
"97",30,"aouda",11
"98",3,"days",10
"99",3,"pounds",10
"100",3,"ralph",10
"101",6,"suez",10
"102",9,"fix",10
"103",9,"mongolia",10
"104",10,"fogg",10
"105",11,"elephant",10
"106",13,"pagoda",10
"107",14,"phileas",10
"108",15,"phileas",10
"109",19,"fogg",10
"110",20,"boat",10
"111",20,"pilot",10
"112",21,"john",10
"113",21,"shanghai",10
"114",22,"japanese",10
"115",28,"proctor",10
"116",31,"omaha",10
"117",31,"passepartout",10
"118",32,"captain",10
"119",32,"phileas",10
"120",33,"passepartout",10
"121",34,"fix",10
"122",36,"minutes",10
"123",37,"day",10
"124",37,"passepartout",10
"125",6,"consul",9
"126",7,"passport",9
"127",8,"passepartout",9
"128",9,"passepartout",9
"129",9,"steamer",9
"130",10,"india",9
"131",11,"phileas",9
"132",12,"parsee",9
"133",12,"passepartout",9
"134",13,"parsee",9
"135",15,"pounds",9
"136",18,"steamer",9
"137",19,"master",9
"138",20,"yokohama",9
"139",21,"bunsby",9
"140",21,"speed",9
"141",23,"japanese",9
"142",24,"steamer",9
"143",24,"time",9
"144",25,"aouda",9
"145",25,"passepartout",9
"146",27,"mormon",9
"147",27,"train",9
"148",28,"bridge",9
"149",29,"proctor",9
"150",29,"sioux",9
"151",30,"fort",9
"152",31,"time",9
"153",31,"wind",9
"154",33,"day",9
"155",33,"steam",9
"156",33,"thousand",9
"157",37,"phileas",9
"158",2,"fogg",8
"159",3,"twenty",8
"160",8,"london",8
"161",11,"pounds",8
"162",11,"railway",8
"163",12,"elephant",8
"164",13,"passepartout",8
"165",13,"victim",8
"166",15,"policeman",8
"167",16,"rangoon",8
"168",18,"hong",8
"169",18,"kong",8
"170",18,"twenty",8
"171",19,"hong",8
"172",19,"kong",8
"173",19,"thousand",8
"174",21,"day",8
"175",21,"fix",8
"176",22,"found",8
"177",27,"elder",8
"178",27,"lake",8
"179",27,"salt",8
"180",28,"aouda",8
"181",28,"fix",8
"182",28,"passengers",8
"183",28,"replied",8
"184",29,"phileas",8
"185",29,"replied",8
"186",31,"mudge",8
"187",31,"sails",8
"188",33,"fix",8
"189",35,"madam",8
"190",36,"andrew",8
"191",36,"stuart",8
"192",37,"minutes",8
"193",37,"twenty",8
"194",3,"eighty",7
"195",4,"master",7
"196",4,"twenty",7
"197",6,"mongolia",7
"198",6,"steamer",7
"199",7,"october",7
"200",8,"monsieur",7
"201",8,"watch",7
"202",9,"fogg",7
"203",10,"calcutta",7
"204",10,"passepartout",7
"205",11,"cromarty",7
"206",11,"time",7
"207",12,"procession",7
"208",12,"woman",7
"209",13,"moment",7
"210",13,"phileas",7
"211",13,"pyre",7
"212",14,"hand",7
"213",14,"india",7
"214",15,"bombay",7
"215",15,"priests",7
"216",16,"aouda",7
"217",17,"master",7
"218",18,"hours",7
"219",18,"yokohama",7
"220",19,"detective",7
"221",19,"english",7
"222",19,"pounds",7
"223",19,"time",7
"224",20,"carnatic",7
"225",20,"honour",7
"226",20,"hundred",7
"227",21,"coast",7
"228",21,"hundred",7
"229",21,"sail",7
"230",22,"japan",7
"231",24,"day",7
"232",24,"grant",7
"233",24,"yokohama",7
"234",25,"crowd",7
"235",26,"locomotive",7
"236",26,"omaha",7
"237",26,"pacific",7
"238",27,"smith",7
"239",28,"master",7
"240",28,"river",7
"241",29,"conductor",7
"242",29,"fix",7
"243",29,"minutes",7
"244",29,"stopped",7
"245",30,"captain",7
"246",30,"phileas",7
"247",30,"sir",7
"248",31,"chicago",7
"249",31,"fix",7
"250",31,"held",7
"251",31,"station",7
"252",33,"replied",7
"253",33,"vessel",7
"254",34,"london",7
"255",34,"passepartout",7
"256",34,"phileas",7
"257",1,"club",6
"258",1,"monsieur",6
"259",1,"passepartout",6
"260",1,"row",6
"261",1,"saville",6
"262",3,"bank",6
"263",3,"hundred",6
"264",3,"returned",6
"265",3,"world",6
"266",4,"bag",6
"267",9,"hours",6
"268",9,"sea",6
"269",10,"fix",6
"270",10,"hundred",6
"271",11,"allahabad",6
"272",11,"india",6
"273",11,"means",6
"274",11,"refused",6
"275",12,"kiouni",6
"276",13,"cries",6
"277",13,"wood",6
"278",14,"aouda",6
"279",14,"benares",6
"280",14,"francis",6
"281",14,"sir",6
"282",14,"woman",6
"283",15,"clerk",6
"284",15,"fix",6
"285",15,"obadiah",6
"286",15,"pagoda",6
"287",15,"servant",6
"288",15,"thousand",6
"289",16,"calcutta",6
"290",17,"aouda",6
"291",17,"day",6
"292",17,"phileas",6
"293",17,"rangoon",6
"294",18,"pilot",6
"295",18,"rangoon",6
"296",18,"storm",6
"297",18,"time",6
"298",20,"shanghai",6
"299",20,"sir",6
"300",20,"steamer",6
"301",20,"time",6
"302",21,"forward",6
"303",21,"night",6
"304",21,"phileas",6
"305",21,"south",6
"306",21,"time",6
"307",21,"waves",6
"308",21,"yokohama",6
"309",22,"master",6
"310",22,"midst",6
"311",22,"quarter",6
"312",22,"streets",6
"313",22,"yokohama",6
"314",23,"batulcar",6
"315",23,"pyramid",6
"316",24,"detective",6
"317",24,"english",6
"318",24,"london",6
"319",25,"street",6
"320",26,"car",6
"321",26,"road",6
"322",26,"sacramento",6
"323",26,"san",6
"324",27,"black",6
"325",27,"car",6
"326",27,"mormons",6
"327",28,"american",6
"328",28,"conductor",6
"329",28,"creek",6
"330",28,"cried",6
"331",28,"engineer",6
"332",28,"medicine",6
"333",28,"miles",6
"334",29,"aouda",6
"335",29,"cars",6
"336",29,"hundred",6
"337",29,"passed",6
"338",29,"passengers",6
"339",29,"passepartout",6
"340",29,"station",6
"341",30,"indians",6
"342",30,"kearney",6
"343",30,"locomotive",6
"344",30,"passepartout",6
"345",30,"soldiers",6
"346",30,"station",6
"347",31,"hours",6
"348",31,"phileas",6
"349",32,"henrietta",6
"350",32,"passengers",6
"351",33,"evening",6
"352",33,"hours",6
"353",33,"waves",6
"354",33,"wind",6
"355",34,"minutes",6
"356",34,"train",6
"357",35,"phileas",6
"358",35,"replied",6
"359",36,"club",6
"360",36,"twenty",6
"361",37,"hours",6
"362",2,"house",5
"363",2,"past",5
"364",3,"detectives",5
"365",3,"flanagan",5
"366",3,"half",5
"367",3,"rail",5
"368",3,"reform",5
"369",3,"replied",5
"370",3,"steamer",5
"371",3,"wager",5
"372",4,"carpet",5
"373",4,"minutes",5
"374",5,"club",5
"375",5,"reform",5
"376",5,"world",5
"377",6,"board",5
"378",6,"description",5
"379",6,"english",5
"380",6,"time",5
"381",7,"a.m",5
"382",7,"fix",5
"383",7,"fogg",5
"384",8,"bombay",5
"385",8,"minutes",5
"386",9,"aden",5
"387",9,"hundred",5
"388",9,"time",5
"389",10,"british",5
"390",10,"east",5
"391",10,"rabbit",5
"392",10,"station",5
"393",10,"time",5
"394",11,"hundred",5
"395",11,"replied",5
"396",12,"branches",5
"397",12,"miles",5
"398",12,"sacrifice",5
"399",12,"time",5
"400",13,"guards",5
"401",13,"lay",5
"402",13,"rajah",5
"403",13,"temple",5
"404",13,"terror",5
"405",13,"walls",5
"406",13,"woman",5
"407",14,"calcutta",5
"408",14,"city",5
"409",14,"elephant",5
"410",14,"eyes",5
"411",14,"ganges",5
"412",14,"guide",5
"413",15,"aouda",5
"414",15,"calcutta",5
"415",15,"cried",5
"416",15,"master",5
"417",15,"replied",5
"418",15,"shoes",5
"419",16,"board",5
"420",16,"bombay",5
"421",16,"detective",5
"422",16,"warrant",5
"423",17,"detective",5
"424",17,"hong",5
"425",17,"kong",5
"426",17,"singapore",5
"427",18,"aouda",5
"428",18,"hand",5
"429",18,"sea",5
"430",18,"wind",5
"431",19,"chinese",5
"432",19,"cried",5
"433",19,"gentlemen",5
"434",19,"reform",5
"435",20,"bunsby",5
"436",20,"hong",5
"437",20,"john",5
"438",20,"kong",5
"439",20,"phileas",5
"440",21,"aouda",5
"441",21,"craft",5
"442",21,"moment",5
"443",21,"sir",5
"444",21,"storm",5
"445",21,"violence",5
"446",23,"honourable",5
"447",23,"servant",5
"448",24,"board",5
"449",24,"francisco",5
"450",24,"hundred",5
"451",24,"phileas",5
"452",24,"san",5
"453",24,"thousand",5
"454",24,"twenty",5
"455",24,"watch",5
"456",25,"camerfield",5
"457",25,"hotel",5
"458",25,"mandiboy",5
"459",25,"meeting",5
"460",25,"phileas",5
"461",26,"buffaloes",5
"462",26,"fogg",5
"463",26,"francisco",5
"464",26,"mountains",5
"465",26,"o’clock",5
"466",26,"track",5
"467",27,"chief",5
"468",27,"driven",5
"469",27,"hitch",5
"470",27,"utah",5
"471",28,"bow",5
"472",28,"car",5
"473",28,"found",5
"474",28,"game",5
"475",28,"heard",5
"476",28,"hundred",5
"477",28,"mountains",5
"478",28,"pass",5
"479",28,"phileas",5
"480",28,"snow",5
"481",28,"station",5
"482",28,"stopped",5
"483",28,"whist",5
"484",29,"american",5
"485",29,"fort",5
"486",29,"hand",5
"487",29,"platform",5
"488",29,"road",5
"489",29,"stop",5
"490",29,"ten",5
"491",30,"heard",5
"492",30,"leave",5
"493",30,"passengers",5
"494",30,"returned",5
"495",30,"sioux",5
"496",31,"fort",5
"497",31,"miles",5
"498",31,"snow",5
"499",31,"trains",5
"500",31,"york",5
"501",32,"liverpool",5
"502",33,"coal",5
"503",33,"december",5
"504",33,"deck",5
"505",33,"engineer",5
"506",33,"fogg’s",5
"507",33,"london",5
"508",33,"queenstown",5
"509",33,"sea",5
"510",33,"sir",5
"511",33,"twenty",5
"512",34,"aouda",5
"513",34,"custom",5
"514",34,"hours",5
"515",34,"house",5
"516",34,"moment",5
"517",35,"evening",5
"518",35,"heart",5
"519",35,"master",5
"520",36,"days",5
"521",36,"time",5
"522",37,"days",5
"523",37,"marriage",5
"524",1,"eleven",4
"525",1,"house",4
"526",1,"minutes",4
"527",1,"reform",4
"528",1,"twenty",4
"529",2,"master",4
"530",3,"club",4
"531",3,"deal",4
"532",3,"fallentin",4
"533",3,"hand",4
"534",3,"london",4
"535",3,"sullivan",4
"536",3,"thief",4
"537",4,"phileas",4
"538",4,"station",4
"539",5,"departure",4
"540",5,"tour",4
"541",6,"brindisi",4
"542",6,"honest",4
"543",6,"hope",4
"544",6,"hundred",4
"545",6,"passport",4
"546",6,"robber",4
"547",7,"_visa_",4
"548",7,"london",4
"549",7,"servant",4
"550",7,"suez",4
"551",8,"consul",4
"552",8,"fogg",4
"553",8,"it’s",4
"554",8,"master",4
"555",8,"suez",4
"556",8,"time",4
"557",9,"coal",4
"558",9,"company",4
"559",9,"curious",4
"560",9,"day",4
"561",9,"deck",4
"562",9,"india",4
"563",9,"indian",4
"564",9,"monsieur",4
"565",9,"phileas",4
"566",9,"wind",4
"567",10,"indian",4
"568",10,"leaving",4
"569",10,"native",4
"570",10,"office",4
"571",10,"railway",4
"572",10,"shoes",4
"573",11,"beast",4
"574",11,"conductor",4
"575",11,"country",4
"576",11,"master",4
"577",11,"mountains",4
"578",11,"nature",4
"579",11,"offered",4
"580",11,"passed",4
"581",11,"passengers",4
"582",11,"stopped",4
"583",11,"thousand",4
"584",12,"allahabad",4
"585",12,"bundelcund",4
"586",12,"burned",4
"587",12,"head",4
"588",12,"neck",4
"589",12,"phileas",4
"590",12,"replied",4
"591",12,"stopped",4
