"","chapter","afinn_score","afinn_total_words","afinn_sentiment_words","bing_score","bing_total_words","positive","negative","nrc_score","nrc_total_words","sentiwordnet_score","sentiwordnet_total_words","senticnet_score","senticnet_total_words"
"1",1,0.609756097560976,41,35,0.241379310344828,58,36,22,0.27906976744186,86,0.121951219512195,41,0,274
"2",2,0.666666666666667,48,44,0.3,60,39,21,0.360824742268041,97,0.133333333333333,48,0,251
"3",3,0.136363636363636,66,57,0.108433734939759,83,46,37,0.26241134751773,141,0.0272727272727273,66,0,374
"4",4,0,34,32,-0.0357142857142857,56,27,29,0,62,0,34,0,202
"5",5,-0.585365853658537,41,36,0.04,50,26,24,0.0810810810810811,74,-0.117073170731707,41,0,203
"6",6,0.113207547169811,53,39,0.0666666666666667,60,32,28,0.152941176470588,85,0.0226415094339623,53,0,287
"7",7,-0.12,25,21,-0.0434782608695652,23,11,12,0.137254901960784,51,-0.024,25,0,133
"8",8,-0.297297297297297,37,33,-0.181818181818182,44,18,26,0.292307692307692,65,-0.0594594594594595,37,0,230
"9",9,0.763636363636364,55,46,0.28125,64,41,23,0.290909090909091,110,0.152727272727273,55,0,328
"10",10,0.206896551724138,58,51,-0.0985915492957746,71,32,39,0.233644859813084,107,0.0413793103448276,58,0,332
"11",11,-0.435185185185185,108,92,-0.147540983606557,122,52,70,0.174603174603175,189,-0.087037037037037,108,0,488
"12",12,-0.408163265306122,98,80,-0.276923076923077,130,47,83,0.0967741935483871,186,-0.0816326530612245,98,0,463
"13",13,-0.688073394495413,109,75,-0.314814814814815,108,37,71,0.0173410404624277,173,-0.137614678899083,109,0,413
"14",14,0.734042553191489,94,79,0.395833333333333,96,67,29,0.409395973154362,149,0.146808510638298,94,0,392
"15",15,-1.03061224489796,98,69,-0.316455696202532,79,27,52,-0.164179104477612,134,-0.206122448979592,98,0,370
"16",16,-0.328125,64,55,0.0136986301369863,73,37,36,0.28695652173913,115,-0.065625,64,0,307
"17",17,0.0133333333333333,75,65,0.0408163265306122,98,51,47,0.239669421487603,121,0.00266666666666668,75,0,347
"18",18,-0.0285714285714286,70,59,-0.216216216216216,74,29,45,0.11864406779661,118,-0.0057142857142857,70,0,294
"19",19,-0.403846153846154,104,87,-0.0666666666666667,105,49,56,0.0714285714285714,168,-0.0807692307692308,104,0,417
"20",20,0.2375,80,65,0.113924050632911,79,44,35,0.186206896551724,145,0.0475,80,0,361
"21",21,-0.169491525423729,118,96,-0.171428571428571,140,58,82,0.107569721115538,251,-0.0338983050847458,118,0,550
"22",22,-0.264705882352941,68,59,-0.106382978723404,94,42,52,0.168,125,-0.0529411764705882,68,0,386
"23",23,0.26984126984127,63,52,0.134328358208955,67,38,29,0.392592592592593,135,0.053968253968254,63,0,334
"24",24,0.229885057471264,87,70,0.0117647058823529,85,43,42,0.217391304347826,138,0.0459770114942529,87,0,395
"25",25,0.529411764705882,85,72,-0.129411764705882,85,37,48,0.210884353741497,147,0.105882352941176,85,0,406
"26",26,0.1,50,40,-0.186440677966102,59,24,35,0.156626506024096,83,0.02,50,0,329
"27",27,-0.0307692307692308,65,56,-0.102564102564103,78,35,43,0.248407643312102,157,-0.00615384615384618,65,0,456
"28",28,-0.316666666666667,120,85,-0.339130434782609,115,38,77,0.212121212121212,198,-0.0633333333333334,120,0,511
"29",29,-0.0618556701030928,97,74,-0.0526315789473684,95,45,50,0.171974522292994,157,-0.0123711340206186,97,0,428
"30",30,-0.827272727272727,110,80,-0.491803278688525,122,31,91,-0.0177514792899408,169,-0.165454545454545,110,0,439
"31",31,0.0142857142857143,70,57,-0.0909090909090909,66,30,36,0.0625,96,0.00285714285714284,70,0,348
"32",32,-0.366666666666667,30,28,0.0232558139534884,43,22,21,0.306666666666667,75,-0.0733333333333334,30,0,207
"33",33,-0.358490566037736,106,90,-0.0884353741496599,147,67,80,0.229166666666667,192,-0.0716981132075472,106,0,512
"34",34,-0.580645161290323,62,46,-0.21875,64,25,39,0.010752688172043,93,-0.116129032258065,62,0,218
"35",35,-0.36986301369863,73,64,-0.036144578313253,83,40,43,0.0655737704918033,122,-0.073972602739726,73,0,289
"36",36,-0.525,40,35,-0.24,50,19,31,-0.0277777777777778,72,-0.105,40,0,203
"37",37,0.666666666666667,45,35,0.153846153846154,52,30,22,0.361111111111111,72,0.133333333333333,45,0,187
