"","chapter","location","country","continent","afinn_score","bing_score","nrc_score","journey_stage"
"1",1,"London","United Kingdom","Europe",0.609756097560976,0.241379310344828,0.27906976744186,"Departure (UK)"
"2",1,"Burlington Gardens","United Kingdom","Europe",0.609756097560976,0.241379310344828,0.27906976744186,"Departure (UK)"
"3",1,"Reform Club","United Kingdom","Europe",0.609756097560976,0.241379310344828,0.27906976744186,"Departure (UK)"
"4",1,"Paris","France","Europe",0.609756097560976,0.241379310344828,0.27906976744186,"Departure (UK)"
"5",2,"London","United Kingdom","Europe",0.666666666666667,0.3,0.360824742268041,"Departure (UK)"
"6",2,"Reform Club","United Kingdom","Europe",0.666666666666667,0.3,0.360824742268041,"Departure (UK)"
"7",2,"Paris","France","Europe",0.666666666666667,0.3,0.360824742268041,"Departure (UK)"
"8",3,"London","United Kingdom","Europe",0.136363636363636,0.108433734939759,0.26241134751773,"Departure (UK)"
"9",3,"Reform Club","United Kingdom","Europe",0.136363636363636,0.108433734939759,0.26241134751773,"Departure (UK)"
"10",3,"Pall Mall","United Kingdom","Europe",0.136363636363636,0.108433734939759,0.26241134751773,"Departure (UK)"
"11",3,"Dover","United Kingdom","Europe",0.136363636363636,0.108433734939759,0.26241134751773,"Departure (UK)"
"12",3,"Brindisi","Italy","Europe",0.136363636363636,0.108433734939759,0.26241134751773,"Departure (UK)"
"13",3,"Mont Cenis","Italy","Europe",0.136363636363636,0.108433734939759,0.26241134751773,"Departure (UK)"
"14",3,"Suez","Egypt","Africa",0.136363636363636,0.108433734939759,0.26241134751773,"Departure (UK)"
"15",3,"Bombay","India","Asia",0.136363636363636,0.108433734939759,0.26241134751773,"Departure (UK)"
"16",3,"Calcutta","India","Asia",0.136363636363636,0.108433734939759,0.26241134751773,"Departure (UK)"
"17",3,"Allahabad","India","Asia",0.136363636363636,0.108433734939759,0.26241134751773,"Departure (UK)"
"18",3,"Hong Kong","Hong Kong","Asia",0.136363636363636,0.108433734939759,0.26241134751773,"Departure (UK)"
"19",3,"Yokohama","Japan","Asia",0.136363636363636,0.108433734939759,0.26241134751773,"Departure (UK)"
"20",3,"Japan","Japan","Asia",0.136363636363636,0.108433734939759,0.26241134751773,"Departure (UK)"
"21",3,"San Francisco","United States","North America",0.136363636363636,0.108433734939759,0.26241134751773,"Departure (UK)"
"22",3,"New York","United States","North America",0.136363636363636,0.108433734939759,0.26241134751773,"Departure (UK)"
"23",3,"America","United States","North America",0.136363636363636,0.108433734939759,0.26241134751773,"Departure (UK)"
"24",3,"Liverpool","United Kingdom","Europe",0.136363636363636,0.108433734939759,0.26241134751773,"Departure (UK)"
"25",3,"Glasgow","United Kingdom","Europe",0.136363636363636,0.108433734939759,0.26241134751773,"Departure (UK)"
"26",3,"Havre","United Kingdom","Europe",0.136363636363636,0.108433734939759,0.26241134751773,"Departure (UK)"
"27",3,"Rothal","India","Asia",0.136363636363636,0.108433734939759,0.26241134751773,"Departure (UK)"
"28",3,"Great Indian Peninsula Railway","India","Asia",0.136363636363636,0.108433734939759,0.26241134751773,"Departure (UK)"
"29",4,"London","United Kingdom","Europe",0,-0.0357142857142857,0,"Departure (UK)"
"30",4,"Reform Club","United Kingdom","Europe",0,-0.0357142857142857,0,"Departure (UK)"
"31",4,"Charing Cross","United Kingdom","Europe",0,-0.0357142857142857,0,"Departure (UK)"
"32",4,"Dover","United Kingdom","Europe",0,-0.0357142857142857,0,"Departure (UK)"
"33",4,"Calais","United Kingdom","Europe",0,-0.0357142857142857,0,"Departure (UK)"
"34",4,"Paris","France","Europe",0,-0.0357142857142857,0,"Departure (UK)"
"35",5,"London","United Kingdom","Europe",-0.585365853658537,0.04,0.0810810810810811,"Departure (UK)"
"36",5,"Reform Club","United Kingdom","Europe",-0.585365853658537,0.04,0.0810810810810811,"Departure (UK)"
"37",5,"Bombay","India","Asia",-0.585365853658537,0.04,0.0810810810810811,"Departure (UK)"
"38",5,"India","India","Asia",-0.585365853658537,0.04,0.0810810810810811,"Departure (UK)"
"39",5,"United States","United States","North America",-0.585365853658537,0.04,0.0810810810810811,"Departure (UK)"
"40",6,"London","United Kingdom","Europe",0.113207547169811,0.0666666666666667,0.152941176470588,"Europe"
"41",6,"Brindisi","Italy","Europe",0.113207547169811,0.0666666666666667,0.152941176470588,"Europe"
"42",6,"Suez","Egypt","Africa",0.113207547169811,0.0666666666666667,0.152941176470588,"Europe"
"43",6,"Red Sea","Egypt","Africa",0.113207547169811,0.0666666666666667,0.152941176470588,"Europe"
"44",6,"Aden","Egypt","Africa",0.113207547169811,0.0666666666666667,0.152941176470588,"Europe"
"45",6,"Bombay","India","Asia",0.113207547169811,0.0666666666666667,0.152941176470588,"Europe"
"46",6,"India","India","Asia",0.113207547169811,0.0666666666666667,0.152941176470588,"Europe"
"47",6,"Port Said","Egypt","Africa",0.113207547169811,0.0666666666666667,0.152941176470588,"Europe"
"48",7,"London","United Kingdom","Europe",-0.12,-0.0434782608695652,0.137254901960784,"Europe"
"49",7,"Paris","France","Europe",-0.12,-0.0434782608695652,0.137254901960784,"Europe"
"50",7,"Brindisi","Italy","Europe",-0.12,-0.0434782608695652,0.137254901960784,"Europe"
"51",7,"Turin","Italy","Europe",-0.12,-0.0434782608695652,0.137254901960784,"Europe"
"52",7,"Mont Cenis","Italy","Europe",-0.12,-0.0434782608695652,0.137254901960784,"Europe"
"53",7,"Suez","Egypt","Africa",-0.12,-0.0434782608695652,0.137254901960784,"Europe"
"54",7,"Bombay","India","Asia",-0.12,-0.0434782608695652,0.137254901960784,"Europe"
"55",7,"Calcutta","India","Asia",-0.12,-0.0434782608695652,0.137254901960784,"Europe"
"56",7,"Singapore","Singapore","Asia",-0.12,-0.0434782608695652,0.137254901960784,"Europe"
"57",7,"Hong Kong","Hong Kong","Asia",-0.12,-0.0434782608695652,0.137254901960784,"Europe"
"58",7,"Yokohama","Japan","Asia",-0.12,-0.0434782608695652,0.137254901960784,"Europe"
"59",7,"San Francisco","United States","North America",-0.12,-0.0434782608695652,0.137254901960784,"Europe"
"60",7,"New York","United States","North America",-0.12,-0.0434782608695652,0.137254901960784,"Europe"
"61",8,"London","United Kingdom","Europe",-0.297297297297297,-0.181818181818182,0.292307692307692,"Europe"
"62",8,"Paris","France","Europe",-0.297297297297297,-0.181818181818182,0.292307692307692,"Europe"
"63",8,"Suez","Egypt","Africa",-0.297297297297297,-0.181818181818182,0.292307692307692,"Europe"
"64",8,"Egypt","Egypt","Africa",-0.297297297297297,-0.181818181818182,0.292307692307692,"Europe"
"65",8,"Red Sea","Egypt","Africa",-0.297297297297297,-0.181818181818182,0.292307692307692,"Europe"
"66",8,"Bombay","India","Asia",-0.297297297297297,-0.181818181818182,0.292307692307692,"Europe"
"67",8,"India","India","Asia",-0.297297297297297,-0.181818181818182,0.292307692307692,"Europe"
"68",9,"London","United Kingdom","Europe",0.763636363636364,0.28125,0.290909090909091,"Europe"
"69",9,"Reform Club","United Kingdom","Europe",0.763636363636364,0.28125,0.290909090909091,"Europe"
"70",9,"Brindisi","Italy","Europe",0.763636363636364,0.28125,0.290909090909091,"Europe"
"71",9,"Suez","Egypt","Africa",0.763636363636364,0.28125,0.290909090909091,"Europe"
"72",9,"Red Sea","Egypt","Africa",0.763636363636364,0.28125,0.290909090909091,"Europe"
"73",9,"Aden","Egypt","Africa",0.763636363636364,0.28125,0.290909090909091,"Europe"
"74",9,"Bombay","India","Asia",0.763636363636364,0.28125,0.290909090909091,"Europe"
"75",9,"Calcutta","India","Asia",0.763636363636364,0.28125,0.290909090909091,"Europe"
"76",9,"India","India","Asia",0.763636363636364,0.28125,0.290909090909091,"Europe"
"77",9,"Benares","India","Asia",0.763636363636364,0.28125,0.290909090909091,"Europe"
"78",9,"Goa","India","Asia",0.763636363636364,0.28125,0.290909090909091,"Europe"
"79",9,"Mocha","Yemen","Asia",0.763636363636364,0.28125,0.290909090909091,"Europe"
"80",9,"Steamer Point","Yemen","Asia",0.763636363636364,0.28125,0.290909090909091,"Europe"
"81",9,"Bab-el-Mandeb","Yemen","Asia",0.763636363636364,0.28125,0.290909090909091,"Europe"
"82",10,"London","United Kingdom","Europe",0.206896551724138,-0.0985915492957746,0.233644859813084,"Europe"
"83",10,"Paris","France","Europe",0.206896551724138,-0.0985915492957746,0.233644859813084,"Europe"
"84",10,"Suez","Egypt","Africa",0.206896551724138,-0.0985915492957746,0.233644859813084,"Europe"
"85",10,"Bombay","India","Asia",0.206896551724138,-0.0985915492957746,0.233644859813084,"Europe"
"86",10,"Calcutta","India","Asia",0.206896551724138,-0.0985915492957746,0.233644859813084,"Europe"
"87",10,"India","India","Asia",0.206896551724138,-0.0985915492957746,0.233644859813084,"Europe"
"88",10,"Allahabad","India","Asia",0.206896551724138,-0.0985915492957746,0.233644859813084,"Europe"
"89",10,"Benares","India","Asia",0.206896551724138,-0.0985915492957746,0.233644859813084,"Europe"
"90",10,"Great Indian Peninsula Railway","India","Asia",0.206896551724138,-0.0985915492957746,0.233644859813084,"Europe"
"91",11,"London","United Kingdom","Europe",-0.435185185185185,-0.147540983606557,0.174603174603175,"Suez/Egypt"
