"","location","country","continent","latitude","longitude","region_type","chapter_count","avg_afinn_score","avg_bing_score","avg_nrc_score","avg_sentiwordnet_score","avg_senticnet_score","sd_afinn_score","sd_bing_score","sd_nrc_score","sd_sentiwordnet_score","sd_senticnet_score","composite_sentiment","sentiment_variability","sentiment_category"
"1","Aden","Egypt","Africa",12.8275,45.0339,"City",3,0.36890965609248,0.119893790849673,0.220413857242502,0.137860978030139,0.0461949882691587,0.346785655108256,0.142409360640421,0.069033602130617,0.130135642168039,0.0399486306112498,0.17865465409679,0.145662578131717,"Positive"
"2","Allahabad","India","Asia",25.4484,81.8463,"City",6,-0.0756865172845761,-0.0556005593945219,0.199028431516528,-0.0236644795896442,-0.00963890322378572,0.528257019584971,0.267273928027566,0.136772090829486,0.177678276341898,0.0708528740917492,0.00688759440479996,0.236166837775134,"Neutral"
"3","America","United States","North America",39.8283,-98.5795,"Country",12,-0.0959591770764743,-0.0759115873335243,0.195353177464266,-0.0441718333518134,-0.00614722950589738,0.303254460035277,0.138268727536172,0.109227815388021,0.0901588832249059,0.047022381568166,-0.00536732996068867,0.137586453550508,"Neutral"
"4","Athens","Greece","Europe",37.9755,23.7348,"City",1,0.734042553191489,0.395833333333333,0.409395973154362,0.253191489361702,0.0953191489361702,NA,NA,NA,NA,NA,0.377556499595411,NA,"Very Positive"
"5","Bab-el-Mandeb","Yemen","Asia",12.8275,45.0339,"Strait",1,0.763636363636364,0.28125,0.290909090909091,0.285454545454545,0.0916363636363636,NA,NA,NA,NA,NA,0.342577272727273,NA,"Very Positive"
"6","Benares","India","Asia",25.3176,82.9739,"City",4,0.317347570841701,0.10773770010775,0.277138274619928,0.113995799891801,0.04141959334109,0.563120286560263,0.271320583821599,0.100144658818966,0.195783052547542,0.07172161409874,0.171527787760454,0.240418039169422,"Positive"
"7","Birmingham","United Kingdom","Europe",52.4862,-1.8904,"City",1,0.734042553191489,0.395833333333333,0.409395973154362,0.253191489361702,0.0953191489361702,NA,NA,NA,NA,NA,0.377556499595411,NA,"Very Positive"
"8","Bombay","India","Asia",19.076,72.8777,"City",16,-0.131206459487289,-0.0304891145442162,0.17499570289712,-0.0429613534303726,-0.0159457377696232,0.488640664530483,0.197910218920043,0.136432694447586,0.170157099943269,0.0627654379011123,-0.00912139246687625,0.211181223148499,"Neutral"
"9","Brindisi","Italy","Europe",40.6363,17.9441,"City",4,0.223301886792453,0.103218035184215,0.210879129214548,0.0880420240137221,0.0255933676386507,0.378372195660133,0.13488067545861,0.0771096567643595,0.137312775332214,0.0469014724260121,0.130206888568718,0.154915355128266,"Positive"
"10","Burlington Gardens","United Kingdom","Europe",51.5074,-0.1278,"Street",1,0.609756097560976,0.241379310344828,0.27906976744186,0.234146341463415,0.0702439024390244,NA,NA,NA,NA,NA,0.286919083850021,NA,"Positive"
"11","Calais","United Kingdom","Europe",50.9513,1.8587,"Port",1,0,-0.0357142857142857,0,-0.0382352941176471,0.0117647058823529,NA,NA,NA,NA,NA,-0.012436974789916,NA,"Neutral"
"12","Calcutta","India","Asia",22.5726,88.3639,"City",11,-0.0465136639904861,0.00289675172072107,0.189801512817831,-0.0125818970249003,-0.00525643906714833,0.530959817691104,0.199264198469508,0.14785839892148,0.185370391293202,0.0675582000205562,0.0256692528912035,0.22620220127917,"Neutral"
"13","Charing Cross","United Kingdom","Europe",51.5074,-0.1278,"Station",1,0,-0.0357142857142857,0,-0.0382352941176471,0.0117647058823529,NA,NA,NA,NA,NA,-0.012436974789916,NA,"Neutral"
"14","China","China","Asia",35.8617,104.1954,"Country",8,-0.156945609062591,-0.0704966011681589,0.171506275532507,-0.0525378845503719,-0.0196487295349174,0.252075554484048,0.111294944746548,0.115109854363222,0.0877210092896387,0.0332425262477639,-0.0256245097567063,0.119888777826244,"Neutral"
"15","Dover","United Kingdom","Europe",51.1267,1.3139,"Port",2,0.0681818181818182,0.0363597246127367,0.131205673758865,0.010427807486631,0.0125490196078431,0.0964236519799837,0.101928042899094,0.185552843290087,0.06882001827591,0.00110918710774361,0.0517448087295789,0.0907667487105636,"Neutral"
"16","Egypt","Egypt","Africa",26.0975,31.2357,"Country",1,-0.297297297297297,-0.181818181818182,0.292307692307692,-0.105405405405405,-0.0324324324324324,NA,NA,NA,NA,NA,-0.0649291249291249,NA,"Neutral"
"17","Glasgow","United Kingdom","Europe",55.8642,-4.2518,"City",1,0.136363636363636,0.108433734939759,0.26241134751773,0.0590909090909091,0.0133333333333333,NA,NA,NA,NA,NA,0.115926592249074,NA,"Positive"
"18","Goa","India","Asia",15.2993,74.124,"City",1,0.763636363636364,0.28125,0.290909090909091,0.285454545454545,0.0916363636363636,NA,NA,NA,NA,NA,0.342577272727273,NA,"Very Positive"
"19","Great Indian Peninsula Railway","India","Asia",25.4484,81.8463,"Institution",2,0.171630094043887,0.0049210928219922,0.248028103665407,0.056269592476489,0.0252873563218391,0.0498743027482675,0.146388982360018,0.0203409785268749,0.0039899442198614,0.0169055414352646,0.101227247865923,0.0474999498580573,"Positive"
"20","Havre","United Kingdom","Europe",49.4944,0.1079,"City",2,-0.115151515151515,0.0658447744466237,0.284539007092199,-0.0237878787878788,-0.02,0.355696138415051,0.0602298855367639,0.0312932362737876,0.117208305851225,0.0471404520791032,0.0382888775198857,0.122313603631186,"Neutral"
"21","Hong Kong","Hong Kong","Asia",22.3193,114.1694,"City",14,-0.128291393327453,-0.0257459127360049,0.180144247420865,-0.0397445388080048,-0.0169921325698799,0.41204797749733,0.173288427494857,0.133921057216433,0.141476469854718,0.0528735774049761,-0.00612594600409549,0.182721501893663,"Neutral"
"22","India","India","Asia",20.5937,78.9629,"Country",11,0.00549546065842703,0.0191160376387542,0.222299876839046,-0.000169537592930503,0.00330410598426199,0.515090309341986,0.201048745867221,0.116421277883231,0.181810929162285,0.0651113860540855,0.0500091887055117,0.215896529661762,"Neutral"
