"","location","country","continent","latitude","longitude","region_type"
"1","London","United Kingdom","Europe",51.5074,-0.1278,"City"
"2","Savile Row","United Kingdom","Europe",51.5074,-0.1278,"Street"
"3","Burlington Gardens","United Kingdom","Europe",51.5074,-0.1278,"Street"
"4","Reform Club","United Kingdom","Europe",51.5074,-0.1278,"Institution"
"5","Pall Mall","United Kingdom","Europe",51.5074,-0.1278,"Street"
"6","Charing Cross","United Kingdom","Europe",51.5074,-0.1278,"Station"
"7","Dover","United Kingdom","Europe",51.1267,1.3139,"Port"
"8","Calais","United Kingdom","Europe",50.9513,1.8587,"Port"
"9","Paris","France","Europe",48.8566,2.3522,"City"
"10","Brindisi","Italy","Europe",40.6363,17.9441,"City"
"11","Turin","Italy","Europe",45.0703,7.6869,"City"
"12","Mont Cenis","Italy","Europe",45.0736,6.8883,"City"
"13","Suez","Egypt","Africa",29.9668,32.5498,"City"
"14","Cairo","Egypt","Africa",30.0444,31.2357,"City"
"15","Egypt","Egypt","Africa",26.0975,31.2357,"Country"
"16","Red Sea","Egypt","Africa",20,40,"Sea"
"17","Aden","Egypt","Africa",12.8275,45.0339,"City"
"18","Bombay","India","Asia",19.076,72.8777,"City"
"19","Calcutta","India","Asia",22.5726,88.3639,"City"
"20","India","India","Asia",20.5937,78.9629,"Country"
"21","Allahabad","India","Asia",25.4484,81.8463,"City"
"22","Benares","India","Asia",25.3176,82.9739,"City"
"23","Goa","India","Asia",15.2993,74.124,"City"
"24","Singapore","Singapore","Asia",1.3521,103.8198,"City"
"25","Hong Kong","Hong Kong","Asia",22.3193,114.1694,"City"
"26","China","China","Asia",35.8617,104.1954,"Country"
"27","Yokohama","Japan","Asia",35.4437,139.638,"City"
"28","Japan","Japan","Asia",35.6762,139.6503,"Country"
"29","San Francisco","United States","North America",37.7749,-122.4194,"City"
"30","New York","United States","North America",40.7128,-74.006,"City"
"31","America","United States","North America",39.8283,-98.5795,"Country"
"32","United States","United States","North America",37.0902,-95.7129,"Country"
"33","Liverpool","United Kingdom","Europe",53.4084,-2.9916,"City"
"34","Glasgow","United Kingdom","Europe",55.8642,-4.2518,"City"
"35","Havre","United Kingdom","Europe",49.4944,0.1079,"City"
"36","Birmingham","United Kingdom","Europe",52.4862,-1.8904,"City"
"37","Manchester","France","Europe",53.4808,-2.2426,"City"
"38","Madrid","Spain","Europe",40.4168,-3.7038,"City"
"39","Rome","Italy","Europe",41.9028,12.4964,"City"
"40","Naples","Italy","Europe",40.8518,14.2681,"City"
"41","Venice","Italy","Europe",45.4408,12.3155,"City"
"42","Florence","Italy","Europe",43.7696,11.2558,"City"
"43","Constantinople","Turkey","Europe",41.0082,28.9784,"City"
"44","Athens","Greece","Europe",37.9755,23.7348,"City"
"45","Alexandria","Egypt","Africa",31.2001,29.9187,"City"
"46","Port Said","Egypt","Africa",31.2653,32.3019,"Port"
"47","Mocha","Yemen","Asia",13.3167,43.75,"City"
"48","Steamer Point","Yemen","Asia",12.8275,45.0339,"Port"
"49","Bab-el-Mandeb","Yemen","Asia",12.8275,45.0339,"Strait"
"50","Rothal","India","Asia",25.4484,81.8463,"City"
"51","Great Indian Peninsula Railway","India","Asia",25.4484,81.8463,"Institution"
