"","chapter","sentiment","count","emotion_proportion"
"1",1,"anger",18,0.145161290322581
"2",1,"anticipation",19,0.153225806451613
"3",1,"disgust",5,0.0403225806451613
"4",1,"fear",17,0.137096774193548
"5",1,"joy",16,0.129032258064516
"6",1,"sadness",12,0.0967741935483871
"7",1,"surprise",7,0.0564516129032258
"8",1,"trust",30,0.241935483870968
"9",2,"anger",15,0.102040816326531
"10",2,"anticipation",20,0.136054421768707
"11",2,"disgust",10,0.0680272108843537
"12",2,"fear",15,0.102040816326531
"13",2,"joy",23,0.156462585034014
"14",2,"sadness",16,0.108843537414966
"15",2,"surprise",11,0.0748299319727891
"16",2,"trust",37,0.251700680272109
"17",3,"anger",26,0.106122448979592
"18",3,"anticipation",35,0.142857142857143
"19",3,"disgust",19,0.0775510204081633
"20",3,"fear",32,0.130612244897959
"21",3,"joy",34,0.138775510204082
"22",3,"sadness",20,0.0816326530612245
"23",3,"surprise",26,0.106122448979592
"24",3,"trust",53,0.216326530612245
"25",4,"anger",7,0.0823529411764706
"26",4,"anticipation",12,0.141176470588235
"27",4,"disgust",7,0.0823529411764706
"28",4,"fear",9,0.105882352941176
"29",4,"joy",8,0.0941176470588235
"30",4,"sadness",19,0.223529411764706
"31",4,"surprise",8,0.0941176470588235
"32",4,"trust",15,0.176470588235294
"33",5,"anger",8,0.0784313725490196
"34",5,"anticipation",17,0.166666666666667
"35",5,"disgust",12,0.117647058823529
"36",5,"fear",15,0.147058823529412
"37",5,"joy",10,0.0980392156862745
"38",5,"sadness",11,0.107843137254902
"39",5,"surprise",8,0.0784313725490196
"40",5,"trust",21,0.205882352941176
"41",6,"anger",13,0.0702702702702703
"42",6,"anticipation",38,0.205405405405405
"43",6,"disgust",16,0.0864864864864865
"44",6,"fear",26,0.140540540540541
"45",6,"joy",24,0.12972972972973
"46",6,"sadness",13,0.0702702702702703
"47",6,"surprise",18,0.0972972972972973
"48",6,"trust",37,0.2
"49",7,"anger",6,0.0789473684210526
"50",7,"anticipation",10,0.131578947368421
"51",7,"disgust",5,0.0657894736842105
"52",7,"fear",9,0.118421052631579
"53",7,"joy",5,0.0657894736842105
"54",7,"sadness",7,0.0921052631578947
"55",7,"surprise",4,0.0526315789473684
"56",7,"trust",30,0.394736842105263
"57",8,"anger",8,0.0571428571428571
"58",8,"anticipation",35,0.25
"59",8,"disgust",5,0.0357142857142857
"60",8,"fear",22,0.157142857142857
"61",8,"joy",16,0.114285714285714
"62",8,"sadness",9,0.0642857142857143
"63",8,"surprise",11,0.0785714285714286
"64",8,"trust",34,0.242857142857143
"65",9,"anger",15,0.0810810810810811
"66",9,"anticipation",35,0.189189189189189
"67",9,"disgust",10,0.0540540540540541
"68",9,"fear",27,0.145945945945946
"69",9,"joy",30,0.162162162162162
"70",9,"sadness",16,0.0864864864864865
"71",9,"surprise",22,0.118918918918919
"72",9,"trust",30,0.162162162162162
"73",10,"anger",9,0.0508474576271186
"74",10,"anticipation",31,0.175141242937853
"75",10,"disgust",18,0.101694915254237
"76",10,"fear",27,0.152542372881356
"77",10,"joy",16,0.0903954802259887
"78",10,"sadness",16,0.0903954802259887
"79",10,"surprise",17,0.096045197740113
"80",10,"trust",43,0.242937853107345
"81",11,"anger",32,0.113475177304965
"82",11,"anticipation",41,0.145390070921986
"83",11,"disgust",16,0.0567375886524823
"84",11,"fear",44,0.156028368794326
"85",11,"joy",26,0.0921985815602837
"86",11,"sadness",37,0.131205673758865
"87",11,"surprise",15,0.0531914893617021
"88",11,"trust",71,0.25177304964539
"89",12,"anger",35,0.104477611940299
"90",12,"anticipation",39,0.116417910447761
"91",12,"disgust",38,0.113432835820896
"92",12,"fear",47,0.140298507462687
"93",12,"joy",34,0.101492537313433
"94",12,"sadness",49,0.146268656716418
"95",12,"surprise",32,0.0955223880597015
"96",12,"trust",61,0.182089552238806
"97",13,"anger",29,0.0957095709570957
"98",13,"anticipation",32,0.105610561056106
"99",13,"disgust",21,0.0693069306930693
"100",13,"fear",55,0.181518151815182
"101",13,"joy",28,0.0924092409240924
"102",13,"sadness",47,0.155115511551155
"103",13,"surprise",25,0.0825082508250825
"104",13,"trust",66,0.217821782178218
"105",14,"anger",13,0.0596330275229358
"106",14,"anticipation",37,0.169724770642202
"107",14,"disgust",11,0.0504587155963303
"108",14,"fear",24,0.110091743119266
"109",14,"joy",42,0.192660550458716
"110",14,"sadness",20,0.0917431192660551
"111",14,"surprise",7,0.0321100917431193
"112",14,"trust",64,0.293577981651376
"113",15,"anger",29,0.117408906882591
"114",15,"anticipation",33,0.133603238866397
"115",15,"disgust",24,0.097165991902834
"116",15,"fear",49,0.198380566801619
"117",15,"joy",12,0.048582995951417
"118",15,"sadness",41,0.165991902834008
"119",15,"surprise",15,0.0607287449392713
"120",15,"trust",44,0.178137651821862
"121",16,"anger",12,0.0659340659340659
"122",16,"anticipation",35,0.192307692307692
"123",16,"disgust",13,0.0714285714285714
"124",16,"fear",28,0.153846153846154
"125",16,"joy",21,0.115384615384615
"126",16,"sadness",15,0.0824175824175824
"127",16,"surprise",15,0.0824175824175824
"128",16,"trust",43,0.236263736263736
"129",17,"anger",17,0.0885416666666667
"130",17,"anticipation",35,0.182291666666667
"131",17,"disgust",14,0.0729166666666667
"132",17,"fear",25,0.130208333333333
"133",17,"joy",28,0.145833333333333
"134",17,"sadness",21,0.109375
"135",17,"surprise",22,0.114583333333333
"136",17,"trust",30,0.15625
"137",18,"anger",26,0.124401913875598
"138",18,"anticipation",38,0.181818181818182
"139",18,"disgust",10,0.0478468899521531
"140",18,"fear",31,0.148325358851675
"141",18,"joy",23,0.110047846889952
"142",18,"sadness",31,0.148325358851675
"143",18,"surprise",16,0.076555023923445
"144",18,"trust",34,0.162679425837321
"145",19,"anger",32,0.117647058823529
"146",19,"anticipation",29,0.106617647058824
"147",19,"disgust",25,0.0919117647058824
"148",19,"fear",38,0.139705882352941
"149",19,"joy",42,0.154411764705882
"150",19,"sadness",38,0.139705882352941
"151",19,"surprise",20,0.0735294117647059
"152",19,"trust",48,0.176470588235294
"153",20,"anger",16,0.0707964601769911
"154",20,"anticipation",42,0.185840707964602
"155",20,"disgust",21,0.0929203539823009
"156",20,"fear",30,0.132743362831858
"157",20,"joy",23,0.101769911504425
"158",20,"sadness",24,0.106194690265487
"159",20,"surprise",19,0.084070796460177
"160",20,"trust",51,0.225663716814159
"161",21,"anger",43,0.106699751861042
"162",21,"anticipation",56,0.138957816377171
"163",21,"disgust",35,0.086848635235732
"164",21,"fear",69,0.1712158808933
"165",21,"joy",41,0.101736972704715
"166",21,"sadness",53,0.13151364764268
"167",21,"surprise",30,0.0744416873449131
"168",21,"trust",76,0.188585607940447
"169",22,"anger",15,0.0852272727272727
"170",22,"anticipation",28,0.159090909090909
"171",22,"disgust",12,0.0681818181818182
"172",22,"fear",24,0.136363636363636
"173",22,"joy",21,0.119318181818182
"174",22,"sadness",30,0.170454545454545
"175",22,"surprise",13,0.0738636363636364
"176",22,"trust",33,0.1875
"177",23,"anger",15,0.0694444444444444
"178",23,"anticipation",35,0.162037037037037
"179",23,"disgust",8,0.037037037037037
"180",23,"fear",15,0.0694444444444444
"181",23,"joy",37,0.171296296296296
"182",23,"sadness",26,0.12037037037037
"183",23,"surprise",23,0.106481481481481
"184",23,"trust",57,0.263888888888889
"185",24,"anger",15,0.0579150579150579
"186",24,"anticipation",56,0.216216216216216
"187",24,"disgust",20,0.0772200772200772
"188",24,"fear",36,0.138996138996139
"189",24,"joy",40,0.154440154440154
"190",24,"sadness",22,0.0849420849420849
"191",24,"surprise",12,0.0463320463320463
"192",24,"trust",58,0.223938223938224
"193",25,"anger",24,0.110091743119266
"194",25,"anticipation",31,0.142201834862385
"195",25,"disgust",11,0.0504587155963303
"196",25,"fear",31,0.142201834862385
"197",25,"joy",32,0.146788990825688
"198",25,"sadness",24,0.110091743119266
"199",25,"surprise",23,0.105504587155963
"200",25,"trust",42,0.192660550458716
"201",26,"anger",19,0.12751677852349
"202",26,"anticipation",24,0.161073825503356
"203",26,"disgust",12,0.0805369127516778
"204",26,"fear",27,0.181208053691275
"205",26,"joy",16,0.10738255033557
"206",26,"sadness",19,0.12751677852349
"207",26,"surprise",7,0.0469798657718121
"208",26,"trust",25,0.167785234899329
"209",27,"anger",21,0.0801526717557252
"210",27,"anticipation",33,0.125954198473282
"211",27,"disgust",25,0.0954198473282443
"212",27,"fear",36,0.137404580152672
"213",27,"joy",30,0.114503816793893
"214",27,"sadness",29,0.110687022900763
"215",27,"surprise",14,0.0534351145038168
"216",27,"trust",74,0.282442748091603
"217",28,"anger",32,0.106666666666667
"218",28,"anticipation",33,0.11
"219",28,"disgust",19,0.0633333333333333
"220",28,"fear",57,0.19
"221",28,"joy",26,0.0866666666666667
"222",28,"sadness",34,0.113333333333333
"223",28,"surprise",22,0.0733333333333333
"224",28,"trust",77,0.256666666666667
"225",29,"anger",39,0.145522388059701
"226",29,"anticipation",37,0.138059701492537
"227",29,"disgust",15,0.0559701492537313
"228",29,"fear",44,0.164179104477612
"229",29,"joy",21,0.0783582089552239
"230",29,"sadness",30,0.111940298507463
"231",29,"surprise",17,0.0634328358208955
"232",29,"trust",65,0.242537313432836
"233",30,"anger",29,0.0973154362416107
"234",30,"anticipation",50,0.167785234899329
"235",30,"disgust",15,0.0503355704697987
"236",30,"fear",46,0.154362416107383
"237",30,"joy",26,0.087248322147651
"238",30,"sadness",49,0.164429530201342
"239",30,"surprise",25,0.0838926174496644
"240",30,"trust",58,0.194630872483221
"241",31,"anger",16,0.0888888888888889
"242",31,"anticipation",32,0.177777777777778
"243",31,"disgust",11,0.0611111111111111
"244",31,"fear",30,0.166666666666667
"245",31,"joy",19,0.105555555555556
"246",31,"sadness",19,0.105555555555556
"247",31,"surprise",19,0.105555555555556
"248",31,"trust",34,0.188888888888889
"249",32,"anger",15,0.116279069767442
"250",32,"anticipation",29,0.224806201550388
"251",32,"disgust",6,0.0465116279069767
"252",32,"fear",11,0.0852713178294574
"253",32,"joy",16,0.124031007751938
"254",32,"sadness",20,0.155038759689922
"255",32,"surprise",9,0.0697674418604651
"256",32,"trust",23,0.178294573643411
"257",33,"anger",37,0.137546468401487
"258",33,"anticipation",40,0.148698884758364
"259",33,"disgust",19,0.0706319702602231
"260",33,"fear",41,0.152416356877323
"261",33,"joy",25,0.0929368029739777
"262",33,"sadness",37,0.137546468401487
"263",33,"surprise",20,0.0743494423791822
"264",33,"trust",50,0.185873605947955
"265",34,"anger",19,0.116564417177914
"266",34,"anticipation",19,0.116564417177914
"267",34,"disgust",12,0.0736196319018405
"268",34,"fear",30,0.184049079754601
"269",34,"joy",19,0.116564417177914
"270",34,"sadness",24,0.147239263803681
"271",34,"surprise",13,0.0797546012269939
"272",34,"trust",27,0.165644171779141
"273",35,"anger",23,0.111111111111111
"274",35,"anticipation",33,0.159420289855072
"275",35,"disgust",15,0.072463768115942
"276",35,"fear",29,0.140096618357488
"277",35,"joy",26,0.1256038647343
"278",35,"sadness",33,0.159420289855072
"279",35,"surprise",12,0.0579710144927536
"280",35,"trust",36,0.173913043478261
"281",36,"anger",17,0.128787878787879
"282",36,"anticipation",23,0.174242424242424
"283",36,"disgust",12,0.0909090909090909
"284",36,"fear",24,0.181818181818182
"285",36,"joy",9,0.0681818181818182
"286",36,"sadness",17,0.128787878787879
"287",36,"surprise",11,0.0833333333333333
"288",36,"trust",19,0.143939393939394
"289",37,"anger",7,0.0630630630630631
"290",37,"anticipation",26,0.234234234234234
"291",37,"disgust",1,0.00900900900900901
"292",37,"fear",9,0.0810810810810811
"293",37,"joy",26,0.234234234234234
"294",37,"sadness",14,0.126126126126126
"295",37,"surprise",5,0.045045045045045
"296",37,"trust",23,0.207207207207207
