"","chapter","sc_concept_score","sc_intensity","sc_total_words","sc_sentiment_words"
"1",1,0,0,274,219
"2",2,0,0,251,208
"3",3,0,0,374,250
"4",4,0,0,202,152
"5",5,0,0,203,161
"6",6,0,0,287,195
"7",7,0,0,133,92
"8",8,0,0,230,158
"9",9,0,0,328,235
"10",10,0,0,332,247
"11",11,0,0,488,351
"12",12,0,0,463,336
"13",13,0,0,413,268
"14",14,0,0,392,303
"15",15,0,0,370,248
"16",16,0,0,307,236
"17",17,0,0,347,262
"18",18,0,0,294,204
"19",19,0,0,417,277
"20",20,0,0,361,235
"21",21,0,0,550,345
"22",22,0,0,386,305
"23",23,0,0,334,257
"24",24,0,0,395,260
"25",25,0,0,406,301
"26",26,0,0,329,217
"27",27,0,0,456,318
"28",28,0,0,511,314
"29",29,0,0,428,264
"30",30,0,0,439,285
"31",31,0,0,348,228
"32",32,0,0,207,150
"33",33,0,0,512,319
"34",34,0,0,218,147
"35",35,0,0,289,221
"36",36,0,0,203,142
"37",37,0,0,187,115
