"","chapter","sw_pos_score","sw_neg_score","sw_obj_score","sw_net_score","sw_total_words","sw_sentiment_words"
"1",1,0.239024390243902,0.117073170731707,0,0.121951219512195,41,35
"2",2,0.254166666666667,0.120833333333333,0,0.133333333333333,48,44
"3",3,0.190909090909091,0.163636363636364,0,0.0272727272727273,66,57
"4",4,0.176470588235294,0.176470588235294,0,0,34,32
"5",5,0.136585365853659,0.253658536585366,0,-0.117073170731707,41,36
"6",6,0.19622641509434,0.173584905660377,0,0.0226415094339623,53,39
"7",7,0.176,0.2,0,-0.024,25,21
"8",8,0.145945945945946,0.205405405405405,0,-0.0594594594594595,37,33
"9",9,0.254545454545455,0.101818181818182,0,0.152727272727273,55,46
"10",10,0.217241379310345,0.175862068965517,0,0.0413793103448276,58,51
"11",11,0.131481481481482,0.218518518518519,0,-0.087037037037037,108,92
"12",12,0.138775510204082,0.220408163265306,0,-0.0816326530612245,98,80
"13",13,0.121100917431193,0.258715596330275,0,-0.137614678899083,109,75
"14",14,0.265957446808511,0.119148936170213,0,0.146808510638298,94,79
"15",15,0.0755102040816327,0.281632653061224,0,-0.206122448979592,98,69
"16",16,0.153125,0.21875,0,-0.065625,64,55
"17",17,0.2,0.197333333333333,0,0.00266666666666668,75,65
"18",18,0.185714285714286,0.191428571428571,0,-0.0057142857142857,70,59
"19",19,0.167307692307692,0.248076923076923,0,-0.0807692307692308,104,87
"20",20,0.21,0.1625,0,0.0475,80,65
"21",21,0.167796610169492,0.201694915254237,0,-0.0338983050847458,118,96
"22",22,0.155882352941176,0.208823529411765,0,-0.0529411764705882,68,59
"23",23,0.215873015873016,0.161904761904762,0,0.053968253968254,63,52
"24",24,0.206896551724138,0.160919540229885,0,0.0459770114942529,87,70
"25",25,0.24,0.134117647058824,0,0.105882352941176,85,72
"26",26,0.172,0.152,0,0.02,50,40
"27",27,0.181538461538462,0.187692307692308,0,-0.00615384615384618,65,56
"28",28,0.13,0.193333333333333,0,-0.0633333333333334,120,85
"29",29,0.171134020618557,0.183505154639175,0,-0.0123711340206186,97,74
"30",30,0.109090909090909,0.274545454545455,0,-0.165454545454545,110,80
"31",31,0.157142857142857,0.154285714285714,0,0.00285714285714284,70,57
"32",32,0.146666666666667,0.22,0,-0.0733333333333334,30,28
"33",33,0.149056603773585,0.220754716981132,0,-0.0716981132075472,106,90
"34",34,0.129032258064516,0.245161290322581,0,-0.116129032258065,62,46
"35",35,0.167123287671233,0.241095890410959,0,-0.073972602739726,73,64
"36",36,0.14,0.245,0,-0.105,40,35
"37",37,0.257777777777778,0.124444444444444,0,0.133333333333333,45,35
