"","chapter","vader_score","vader_total_words","vader_sentiment_words","positive_words.x","negative_words.x","neutral_words","vader_compound","vader_category","positive_words.y","negative_words.y","positive_words","negative_words"
"1",1,0.110655737704918,122,104,1,0,0,0.217767699281365,"positive",79,43,79,43
"2",2,0.120740740740741,135,115,1,0,0,0.236894581600962,"positive",89,46,89,46
"3",3,0.0678947368421053,190,145,1,0,0,0.134960986204669,"positive",115,75,115,75
"4",4,-0.0129032258064516,93,79,0,1,0,-0.0258007243390566,"neutral",44,49,44,49
"5",5,-0.00943396226415095,106,85,0,1,0,-0.0188656858623314,"neutral",52,54,52,54
"6",6,0.0466666666666667,120,98,1,0,0,0.0930632619972001,"positive",68,52,68,52
"7",7,0.0318181818181818,66,55,1,0,0,0.0635506022274225,"positive",38,28,38,28
"8",8,0.0284090909090909,88,73,1,0,0,0.0567571185143553,"positive",52,36,52,36
"9",9,0.127631578947368,152,130,1,0,0,0.249859694137722,"positive",103,49,103,49
"10",10,0.036,150,129,1,0,0,0.0718758414488177,"positive",86,64,86,64
"11",11,0.0142322097378277,267,209,1,0,0,0.0284567344554941,"neutral",148,119,148,119
"12",12,-0.0334519572953737,281,216,0,1,0,-0.0668042693728692,"negative",137,144,137,144
"13",13,-0.0624,250,167,0,1,0,-0.124156089610708,"negative",116,134,116,134
"14",14,0.155348837209302,215,182,1,0,0,0.301071664651467,"positive",150,65,150,65
"15",15,-0.109045226130653,199,148,0,1,0,-0.214697282897114,"negative",77,122,77,122
"16",16,0.0573248407643312,157,136,1,0,0,0.114149969290827,"positive",93,64,93,64
"17",17,0.0458100558659218,179,151,1,0,0,0.0913646090473244,"positive",102,77,102,77
"18",18,-0.0113924050632911,158,124,0,1,0,-0.0227808680522319,"neutral",83,75,83,75
"19",19,-0.0134529147982063,223,178,0,1,0,-0.0268993388869822,"neutral",111,112,111,112
"20",20,0.0743589743589744,195,143,1,0,0,0.147631162605947,"positive",118,77,118,77
"21",21,0.00211480362537764,331,216,1,0,0,0.00422958202897354,"neutral",178,153,178,153
"22",22,0.0241025641025641,195,160,1,0,0,0.0481678242405611,"neutral",109,86,109,86
"23",23,0.0954022988505747,174,143,1,0,0,0.188522325188284,"positive",110,64,110,64
"24",24,0.0627659574468085,188,153,1,0,0,0.124876656622687,"positive",113,75,113,75
"25",25,0.057843137254902,204,176,1,0,0,0.115172933831266,"positive",118,86,118,86
"26",26,0.0258064516129032,124,100,1,0,0,0.051567121611889,"positive",71,53,71,53
"27",27,0.0303030303030303,198,162,1,0,0,0.060531965536483,"positive",112,86,112,86
"28",28,0.00174216027874564,287,196,1,0,0,0.00348430645710709,"neutral",159,128,159,128
"29",29,0.0182203389830508,236,165,1,0,0,0.036424556391067,"neutral",123,113,123,113
"30",30,-0.118725099601594,251,181,0,1,0,-0.233085914422189,"negative",98,153,98,153
"31",31,0.0219354838709677,155,124,1,0,0,0.0438428438012977,"neutral",86,69,86,69
"32",32,0.0683168316831683,101,74,1,0,0,0.135789704806027,"positive",62,39,62,39
"33",33,0.0104477611940298,268,192,1,0,0,0.0208924817648808,"neutral",148,120,148,120
"34",34,-0.0552845528455285,123,96,0,1,0,-0.110120709780111,"negative",58,65,58,65
"35",35,0.00193548387096774,155,130,1,0,0,0.00387094840735297,"neutral",80,75,80,75
"36",36,-0.064,100,81,0,1,0,-0.127305500450736,"negative",45,55,45,55
"37",37,0.125471698113208,106,78,1,0,0,0.245805263747847,"positive",72,34,72,34
